Request ID,Time Sent,Time to First Chunk (seconds),Total Time (seconds),Status,Response
1,Sun Jul 28 2024 17:25:06 GMT+0500 (Pakistan Standard Time),N/A,0.087,Failed - getaddrinfo ENOTFOUND dt4n-qa.qa.xcloudiq.com,N/A
2,Sun Jul 28 2024 17:25:06 GMT+0500 (Pakistan Standard Time),N/A,0.004,Failed - getaddrinfo ENOTFOUND dt4n-qa.qa.xcloudiq.com,N/A
3,Sun Jul 28 2024 17:25:06 GMT+0500 (Pakistan Standard Time),N/A,0.007,Failed - getaddrinfo ENOTFOUND dt4n-qa.qa.xcloudiq.com,N/A
4,Sun Jul 28 2024 17:25:06 GMT+0500 (Pakistan Standard Time),N/A,0.005,Failed - getaddrinfo ENOTFOUND dt4n-qa.qa.xcloudiq.com,N/A
5,Sun Jul 28 2024 17:25:06 GMT+0500 (Pakistan Standard Time),N/A,0.004,Failed - getaddrinfo ENOTFOUND dt4n-qa.qa.xcloudiq.com,N/A
6,Sun Jul 28 2024 17:25:06 GMT+0500 (Pakistan Standard Time),N/A,0.006,Failed - getaddrinfo ENOTFOUND dt4n-qa.qa.xcloudiq.com,N/A
7,Sun Jul 28 2024 17:25:06 GMT+0500 (Pakistan Standard Time),N/A,0.003,Failed - getaddrinfo ENOTFOUND dt4n-qa.qa.xcloudiq.com,N/A
8,Sun Jul 28 2024 17:25:06 GMT+0500 (Pakistan Standard Time),N/A,0.004,Failed - getaddrinfo ENOTFOUND dt4n-qa.qa.xcloudiq.com,N/A
9,Sun Jul 28 2024 17:25:06 GMT+0500 (Pakistan Standard Time),N/A,0.004,Failed - getaddrinfo ENOTFOUND dt4n-qa.qa.xcloudiq.com,N/A
10,Sun Jul 28 2024 17:25:06 GMT+0500 (Pakistan Standard Time),N/A,0.004,Failed - getaddrinfo ENOTFOUND dt4n-qa.qa.xcloudiq.com,N/A
11,Sun Jul 28 2024 17:25:06 GMT+0500 (Pakistan Standard Time),N/A,0.006,Failed - getaddrinfo ENOTFOUND dt4n-qa.qa.xcloudiq.com,N/A
12,Sun Jul 28 2024 17:25:06 GMT+0500 (Pakistan Standard Time),N/A,0.005,Failed - getaddrinfo ENOTFOUND dt4n-qa.qa.xcloudiq.com,N/A
13,Sun Jul 28 2024 17:25:06 GMT+0500 (Pakistan Standard Time),N/A,0.006,Failed - getaddrinfo ENOTFOUND dt4n-qa.qa.xcloudiq.com,N/A
14,Sun Jul 28 2024 17:25:06 GMT+0500 (Pakistan Standard Time),N/A,0.004,Failed - getaddrinfo ENOTFOUND dt4n-qa.qa.xcloudiq.com,N/A
